F 310MoLN,S31050,0.030,2.00,0.030,0.015 0.40,21.0-23.0,,24.0-26.0,2.00-3.00,,N 0.10-0.16
F 316,S31600,0.08,2.00,0.045,0.030 1.00,10.0-14.0,,16.0-18.0,2.00--3.00,,N 0.10
F 316H,S31609,0.04-0.10,2.00,0.045,0.030 1.00,10.0--14.0,,16.0-18.0,2.00---3.00,,
F 316L,S31603,0.030,2.00,0.045,0.030 1.00,10.0-15.0,,16.0-18.0,2.00-3.00,,N 0.10
F 316N,S31651,0.08,2.00,0.045,0.030 1.00,11.0-14.0,,16.0-18.0,2.00-3.00,,N 0.10-0.16
F 316LN,S31653,0.030,2.00,0.045,0.030 1.00,11.0-14.0,,16.0--18.0,2.00-3.00,,N 0.10-0.16
F 316Ti,S31635,0.08,2.00,0.045,0.030 1.00,10.0-14.0,,16.0--18.0,2.00-3.00,,N 0.10 max
F 317,S31700,0.08,2.00,0.045,0.030 1.00,11.0-15.0,,18.0--20.0,3.0-4.0,,
F 317L,S31703,0.030,2.00,0.045,0.030 1.00,11.0--15.0,,18.0-20.0,3.0-4.0,,
F 317LNCb,S31740,0.005-0.020,2.00,0.045,0.030 1.00,11.0--15.0,,17.0-19.0,3.0-4.5,o.20-o.50N,
F 72,S31727,0.030,1.00,0.030,0.030 1.00,14.5-16.5,,17.5-19.0,3.8-4.5,,Cu 2.8-4.0
,,,,,,,,,,,N 0.15-0.21
F 70.,S31730,0.030,2.00,0.040,0.010 1.00,15-16.5,,17.0-19.0,3.0-4.0,,Cu 4.0-5.0
,,,,,,,,,,,N 0.045
F 73,S32053,0.030,1.00,0.030,0.010 1.00,24.0-28.0,,22.0--24.0,5.0-6.0,,N 0.17-0.22
